resolution,checkpoint_set,model,final_patch_tokens,layer,attention_input_patches,mlp_input_patches,attention_type,recovery_query_patches,recovery_kv_patches,source
224,e300_224,ToMe,523,1,784,763,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,1,784,745,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,2,745,706,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,3,706,667,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,4,667,628,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,5,628,589,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,6,589,550,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,7,550,511,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,8,511,472,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,9,472,433,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,10,433,394,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,11,394,355,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,314,12,355,314,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,MergeNet,314,1,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,2,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,3,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,4,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,5,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,6,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,7,314,314,global latent,314,784,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,8,314,314,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,9,314,314,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,10,314,314,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,11,314,314,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,314,12,314,314,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,ToMe,262,1,784,741,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,2,741,698,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,3,698,655,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,4,655,612,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,5,612,569,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,6,569,526,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,7,526,483,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,8,483,440,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,9,440,397,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,10,397,354,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,11,354,311,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,262,12,311,262,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,MergeNet,262,1,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,2,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,3,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,4,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,5,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,6,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,7,262,262,global latent,262,784,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,8,262,262,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,9,262,262,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,10,262,262,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,11,262,262,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,262,12,262,262,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,ToMe,196,1,784,735,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,2,735,686,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,3,686,637,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,4,637,588,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,5,588,539,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,6,539,490,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,7,490,441,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,8,441,392,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,9,392,343,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,10,343,294,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,11,294,245,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,ToMe,196,12,245,196,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
224,e300_224,MergeNet,196,1,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,2,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,3,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,4,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,5,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,6,784,784,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,7,196,196,global latent,196,784,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,8,196,196,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,9,196,196,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,10,196,196,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,11,196,196,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
224,e300_224,MergeNet,196,12,196,196,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,ToMe,865,1,1296,1261,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,2,1261,1226,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,3,1226,1191,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,4,1191,1156,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,5,1156,1121,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,6,1121,1086,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,7,1086,1051,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,8,1051,1016,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,9,1016,981,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,10,981,946,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,11,946,911,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,865,12,911,865,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,MergeNet,865,1,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,2,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,3,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,4,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,5,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,6,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,7,865,865,global latent,865,1296,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,8,865,865,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,9,865,865,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,10,865,865,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,11,865,865,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,865,12,865,865,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,ToMe,648,1,1296,1242,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,2,1242,1188,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,3,1188,1134,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,4,1134,1080,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,5,1080,1026,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,6,1026,972,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,7,972,918,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,8,918,864,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,9,864,810,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,10,810,756,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,11,756,702,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,648,12,702,648,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,MergeNet,648,1,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,2,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,3,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,4,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,5,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,6,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,7,648,648,global latent,648,1296,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,8,648,648,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,9,648,648,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,10,648,648,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,11,648,648,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,648,12,648,648,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,ToMe,519,1,1296,1232,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,2,1232,1168,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,3,1168,1104,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,4,1104,1040,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,5,1040,976,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,6,976,912,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,7,912,848,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,8,848,784,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,9,784,720,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,10,720,656,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,11,656,592,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,519,12,592,519,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,MergeNet,519,1,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,2,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,3,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,4,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,5,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,6,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,7,519,519,global latent,519,1296,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,8,519,519,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,9,519,519,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,10,519,519,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,11,519,519,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,519,12,519,519,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,ToMe,433,1,1296,1225,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,2,1225,1154,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,3,1154,1083,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,4,1083,1012,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,5,1012,941,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,6,941,870,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,7,870,799,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,8,799,728,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,9,728,657,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,10,657,586,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,11,586,515,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,433,12,515,433,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,MergeNet,433,1,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,2,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,3,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,4,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,5,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,6,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,7,433,433,global latent,433,1296,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,8,433,433,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,9,433,433,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,10,433,433,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,11,433,433,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,433,12,433,433,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,ToMe,324,1,1296,1215,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,2,1215,1134,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,3,1134,1053,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,4,1053,972,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,5,972,891,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,6,891,810,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,7,810,729,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,8,729,648,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,9,648,567,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,10,567,486,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,11,486,405,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,ToMe,324,12,405,324,global,,,code-derived release parse_r + ToMeBlock; not logged per-layer shapes
288,e300_224,MergeNet,324,1,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,2,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,3,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,4,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,5,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,6,1296,1296,raster 1D local +/-16 with global CLS,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,7,324,324,global latent,324,1296,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,8,324,324,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,9,324,324,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,10,324,324,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,11,324,324,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
288,e300_224,MergeNet,324,12,324,324,global latent,,,code-derived fixed 6+6 stages; soft local transport preserves full shape
